Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
2353,"y Gaer, Caron-Uwch-Clawdd, Ceredigion (y Gaer Hillfort, Lisbourne Road.)","Virtually no surface evidence remains. Lisbourne Road, which runs west out of Pontrhydfendigaid, dissects the site.",Improved pasture. Road.,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
2354,"Castell Fflemish, Ceredigion",Fair condition.,"Pasture interior, gorse scrub and trees on banks.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2355,"Castell Tregaron, Ceredigion (Sunnyhill Wood Camp; Castell Sunnyhill)",Erosion on parts of ramparts.,"Scrub and grass interior, with trees on banks and part-wooded on W. Scrub clearance in past.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2356,"Tre-Coll, Ceredigion (Trecoll Hillfort)",Good condition.,Pasture interior and part deciduous wooded on W side. Natural outcrops.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2357,"Pant y Bula, Ceredigion (y Gaer)",Visible only from air.,Improved pasture. Wooded to E and W.,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2358,"Gaer, Llandygwydd, Ceredigion",Much gone and uncertain.,Improved pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2359,"Caerau, Henllan, Ceredigion (Henllan)",Virtually destroyed. Setting affected by development to W.,Pasture interior. Woodland surrounds to E and S.,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2360,"Pen Dinas, Aberystwyth, Ceredigion","Good condition, but ploughed and farmed interior to N and S enclosure ploughed in historic times. S enclosure has public access - N enclosure private. Wellington monument in S enclosure. Setting affected by development, especially when seen from S.","Farmed to N, rough pasture and scrub to S. Wellington monument.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
2361,"Esgair Nant-Yr-Arian, Ceredigion",Good condition despite afforestation.,Wooded site.,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
2362,"Castell Perthi-Mawr, Ceredigion (Castell Cilcennin)",Fair conditton.,Rough grazing interior with some scrub on banks.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2363,"Pen Clawdd-Mawr, Ceredigion (Pen-Clawdd-Mawr)",Substantial bank remains. Affected by overgrown hedge bank on S. Partial public access by footpath and entrance used for access by farm animals.,"Interior pasture, with some gorse scrub on banks.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2364,"North Hazelrigg, Northumberland",NA,NA,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
2365,"Cribyn Gaer, Ceredigion (Caer Maesmynach; Gaer Maesmynach)",Fair condition.,Rough grazing interior with trees on banks. Small wood to W.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2366,"Castell Allt-Goch, Ceredigion (Castell Allt Goch)","Site part eroded by cultivation and destruction by ploughing, but main bank in good condition on N and E, and ditch has disappeared, apart from traces on the W and an E stretch.",Improved pasture interior with some scrub/trees on NE banks.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2367,"Coed-Parc Gaer, Ceredigion (Betws-Bledrws; Gaer Coed Parc)",Site reduced.,Under pasture. Rock outcrops throughout site. Wooded slopes to S and SW.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2368,"Tan-y-Ffordd, Ceredigion",Still impressive banks but dense vegetation obscures detail.,Much overgrown woodland.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2369,"Crugllwyn Camp, Ceredigion (Crugllwyn-Llwyd; Crug Llwyn Llwyd; Crug Llwyn-Llwyd)",Destroyed by sand and gravel extraction. Now quarry.,Quarry.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2370,"Gaer Pwntan, Ceredigion (Caer Pwntan; Castell Pwntan; Pen-y-Gaer, Penbryn)",Virtually destroyed by quarrying and ploughing and encroached by farm buildings.,Scrub and buildings. Quarrying.,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
2372,"Clyn-Yr-Ynys, Ceredigion",Destroyed. Cropmark site with no on-site evidence.,Improved pasture and arable.,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
2373,"Mull, Salen, Argyll & Bute (Salen Bay)",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
2374,"Dinas, Melindwr, Ceredigion",Fair condition despite exposed nature of site.,Open moorland. Craggy position.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2375,"Graig y Gwbert, Ceredigion",Probably sea erosion. Damaged. Gravel path through entrance. 19th century limekiln built into bank to S of entrance.,Golf course.,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2377,"Caer Llifry, Ceredigion (Pen-y-Gaer, Bank Green Grove; Caer-Lifry)","Sides plough down in 1990's, but better preserved at each end. Annexe not levelled.",Rough improved pasture,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2380,"Gaer, Brongwyn, Ceredigion",Good condition.,"Improved pasture. Wooded slopes on E, S and W.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2381,"Bronfre-Ganol, Ceredigion",Possible evidence on SE above hedge bank;  cropmarks elsewhere.,Improved pasture.,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
2382,"Gaer Rhydlydan, Ceredigion (Pen-y-Gaer)",Much reduced by agriculture. Site split by fence line into two fields. Occasionally ploughed in past.,Improved pasture and tree line.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
2386,"Leap Linn, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2387,"Alltfadog South, Ceredigion","Almost destroyed. Part cropmark, part very low earthwork. Split into fields.",Pasture with some scrub.,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2388,"Baldock, Hertfordshire",N/A as not a hillfort,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2389,"Tillmouth Farm, Northumberland (Riffington Hill)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2393,"Pen-y-Gaer, Nantcwnlle, Ceredigion (Pen y Gaer)",Plough damage.,Improved pasture with scrub on slopes. Gorse cleared in past.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2394,"Welwyn, Hertfordshire (Welwyn Garden City; Welch's Farm; Datchworth)",N/A as not a hillfort,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2395,"Pen-y-Gaer, Llanbadarn, Ceredigion",Site damaged by agriculture.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2397,"Bulbourne, Hertfordshire (Bulbourne Valley)",N/A as not a hillfort,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2398,"Castle Field Camp, Graig-Llwyn, Cardiff","Much affected by cultivation and outer bank almost lost. Affected by, the built-up area of Cardiff. Setting affected by M4 to S.",Improved pasture but once cultivated.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2399,"Caerau Camp, Ponthir, Monmouth (Candwr Camp)","Site affected by field boundary hedges and fencing and animal damage, including grazing horses.",Improved pasture. Scrub covers much of defences in places with mature trees to W.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2400,"Gaer Fawr Lower Camp, Mynydd y Gaer, Neath Port Talbot (Mynydd y Gaer (Gaer Fawr) Lower Camp)",N outer banks destroyed by cultivation; other earthworks remains good condition.,Rough pasture with juncus.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
2401,"Fort At Craig Ty Isaf, Neath Port Talbot (Craig Ty Isaf Camp)","Near intact, although walls ruinous.",Heavily overgrown with scrub and young trees. Mining trial cuts.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
2402,"Pen y Castell, Cwmafan, Neath Port Talbot",Damaged. Outer rampart gone on NE and at E half of N side.,Heavy bracken cover to fort and surrounding slopes.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2403,"Buarth y Gaer, Neath Port Talbot (Mynydd-y-Gaer)",Damaged. Modern quarrying caused large gap in defences on SW.,Rough upland moorland grass and scrub. Quarrying.,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
2404,"Cefn yr Argoed, Neath Port Talbot",Modern stone wall crosses NW- SE damaged site.,Rough grass and scrub and site surrounded by forest.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2405,"Llwynda'-Ddu, Cardiff (Llwynda'-Ddu Camp)",Damaged and part-destroyed. Interior cultivated in past.,"Pasture interior, trees surround banks.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
2406,"Gaer Hill Camp, Penterry, Monmouth","To SW farm cuts into and destroys defences, also ploughed out to NW.","Pasture interior, wooded banks on NE.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
2407,"Half Moon Camp, Margam, Neath Port Talbot",Destroyed on the NW and SW. Old field bank and modern stone wall cross N part from E to W.,Rampart overgrown by plantations on the N.,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No
2408,"Blackfield Wood Camp, Monmouth (Porthcaseg Camp)","The earthwork is in poor condition. Wye Valley Walk passes through site from a forced entrance at the SE edge adjacent to the cliff, to N tip where it scrambles downwards towards Tintern.",Dense woodland and scrub.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2409,"Mynydd-y-Castell Camp, Margam, Neath Port Talbot",Modern quarry damage. Modern reservoir at SE angle and 'Hen Gastell' ruined possible summerhouse nearby. Old field bank runs NW-SE in middle of interior.,In Margam Park. Quarrying.,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
2411,"Caer Blaen-y-Cwm, Margam, Neath Port Talbot (Caer Blaen y Cwm)","Near destroyed, and site affected by wood to N and electricity lines to S.",Moorland/rough grazing.,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
2412,"Piercefield Great Camp, Monmouth (Pierce Wood Camp)",Probable erosion of the cliffs above the river have taken some of the site.,"Now densely wooded, in common with many of the major sites along this part of the Wye.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2413,"Narborough Camp, Norfolk (Camphill)",NA,NA,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
2414,"Thetford Castle, Norfolk",NA,NA,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
2415,"Bloodgate Hill, Norfolk (Burgh Dykes; Burrow Dykes)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2416,"Holkham, Norfolk",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
2417,"Piercefield Little Camp, Monmouth (Pierce Wood Camp)","Public access and affected by Wye Valley Walk to E and 18th century landscaping of Piercefield Park within site. Halfway along the N side is a standing stone 1.5m high, and next to the path on E side a small stone garden building, a grotto. Damaged.",Parkland and part-wooded.,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No
2418,"Warham Burrows, Norfolk",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2419,"Warham Camp, Norfolk",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2420,"Tasburgh, Norfolk",NA,NA,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
2421,"Warren Hill, Briton Ferry, Neath Port Talbot",Much hemmed in by development and damaged. Whole of N quadrant destroyed by road construction. Construction of reservoir.,Rough grass and scrub and construction. Road and developments.,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
2422,"Castell Morlais, Merthyr Tydfil (Morlais Castle)","Later remnants of Gilbert de Clare castle of c. 1290 on the site (see Whittle 1992, 141-42). Public access and much affected by medieval castle and disused quarry to W.","Rough grass, scrub and bare rock with castle ruins. Quarry.",Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes
2423,"Great House Camp, Monmouth","Damaged and affected by development. S occupied by farm buildings, tracks, orchards and gardens.","Bank and ditches overgrown by trees and scrub, impenetrable in parts, particularly on NW. Interior pasture.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
2424,"Trellech Gaer, Monmouth (Gaer Hillfort, Trellech)","Outer bank to 0.4m high in most areas, affected by much burrowing and small modern quarrying to S.",Rough pasture and scrub. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
2425,"Castell Prin, Newport",Farm track affects defences on S.,Heavily wooded hill top.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2426,"Llanmelin Wood Camp and Llanmelin Outpost, Caerwent, Monmouth",Near intact.,"Wooded slopes, pasture interior to main site. Medieval structure.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
2427,"Craig-y-Dinas, Hirwaun, Rhondda Cynon Taff","Almost destroyed. In the last two hundred years the Craig y Dinas area has been extensively quarried for silica, and the W end and part of N edge of the ridge have been quarried away. Part of an old road crosses the site, and it is possible to trace the remains of two tramways running across the site between quarry workings on the SE and W end.","Rough grass, scrub and trees. Quarried, tramways and road.",Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes
2428,"Gaer Fawr Camp, Llangwm, Monmouth","Ploughing, and modern boundary fences caused much damage. Houses built adjacent to fort and gardens encroach. In poor condition and defences fragmented. Crossed by old farm tracks and paths, and divided further into fields of mainly pasture, with an old orchard at N end and other areas containing mature trees. Public footpath crosses the site. Problems of multiple ownership.","Largely under pasture, but houses encroach site.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No
2429,"Sudbrook Camp, Monmouth","Area much reduced by erosion and encroached, and setting affected, by development. Public footpath to site. Interior used as community playing field.",Grass and scrub and interior used as community playing field.,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
2430,"The Bulwarks, Chepstow, Monmouth (Bulwarks Camp)","Setting compromised and hemmed in by development and interior used for as a community field for public access and sports, but generally well preserved. Encroachment of electricity sub-station situated immediately N of the ramparts.",Interior managed as community field. Wooded slopes.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
2431,"The Heugh, Detchant, Northumberland",NA,NA,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2432,"Ysgyryd (Skirrid) Fawr, Monmouth",Site contains medieval chapel of St Michael. National Trust site.,High moorland.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2433,"Pen Twyn, Llanfihangel Crucorney, Monmouth (Pentwyn)","Good condition, although multivallate S defences now rather worn. Offa's Dyke Long Distance Path passes through the site's entrance.",Bracken and grass rough grazings. Bare rock visible in places.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2434,"Craig Ruperra, Caerphilly (Ruperra Hillfort)",Motte within site at highest point. Used as a summerhouse in the 18th century. SW end damaged by quarrying.,Heavily overgrown making interpretation difficult. Motte. Quarrying.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
2435,"Twyn y Gaer, Llanfihangel Crucorney, Monmouth",Ramparts not strong but fair preservation. Mostly overgrown piles of stones and once higher and ditches deeper.,Moorland grazing and scrub.,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2436,"Westwood Corner, Vale of Glamorgan",Now destroyed by housing development.,Housing estate.,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
2437,"Llancayo Camp, Monmouth (Campswood; Camp Wood)",Good condition despite woodland.,Mainly wooded with scrub clearings in interior.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2438,"Coed y Bwnydd Camp, Monmouth (Coed-y-Bwnyff)",Good condition.,"Wooded, except on NE where rough grass and scrub.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2439,"Mitchel-Troy Enclosure, Monmouth",No details. Affected by field boundary.,Pasture and scrub.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2440,"Wighton Camp, Norfolk",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2441,"Crabb's Castle, Norfolk",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2442,"Copy's Green, Norfolk",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
2443,"Tharston, Norfolk",NA,NA,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
2444,"Dun Bhronaig, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2445,"Dun a' Bhealaich, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2446,"Dun a' Chogaidh, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2447,"Dun Mor, Drimnagall, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2448,"Dun Mhuirich, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2449,"An Fang, Craignish Point, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2450,"Arran, Drumadoon, The Doon, North Ayrshire",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2451,"Arran, Auchencar, North Ayrshire",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2452,"Carradale Point, Argyll & Bute (Kilbrannan Sound)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No
2453,"Carradale, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2454,"Dun Buidhe, Argyll & Bute",NA,Clearing,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2455,"Binnein Mor, Argyll & Bute",NA,NA,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
2456,"Duntroon, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2457,"The Knave, Rhossili, Swansea (Deborah's Hole Camp)",Extensive coastal erosion and perhaps half of site lost to sea.,"Coastal grassland, scrub and bare rock.",Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No
2458,"Yellow Top, Paviland, Swansea (Paviland Camp)",Coastal erosion and public access.,Coastal grassland and bare rock.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
2459,"Maiden Castle, Oxwich, Swansea (Oxwich Point)",Damaged.,Major undergrowth makes site impenetrable in part and interpretation difficult.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2460,"Thurba Head, Swansea (Thurba Camp)","Coastal erosion. Quarrying and lime workings, and old limekiln on S side obscure prehistoric features. Some good sections.",Coastal grassland and bare rock. Quarrying.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
2461,"Bruach An Drumein, Poltalloch, Argyll & Bute (Bruach An Druimein)",Removed by gravel quarrying,NA,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
2462,"Horse Cliff Camp, Swansea",Coastal erosion. Public coastal path. N extremity of bank eroded. Ditch destroyed by quarrying except at S end of bank.,Coastal grassland and bare rock. Quarrying.,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
2463,"Ballygowan, Argyll & Bute (Barr a' Chuirn)",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2464,"Dun na Maraig, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2465,"Kilmichael Glassary, Argyll & Bute (Creagan Breac)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2466,"Dunadd, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2467,"Arran, Creag Dhubh, North Ayrshire",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2468,"Arran, Creagdhu, North Ayrshire (Craig Dhu)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2469,"Arran, Cnoc a' Chlochair, North Ayrshire",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2470,"Arran, Lochranza, Torr An T' Sean Chaisteal, North Ayrshire (Coillemore Burn)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2471,"Caisteal na Sidhe, Argyll & Bute",NA,NA,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
2472,"Creag a' Chaisteal, Stillaig, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2473,"Bute, Aultmore Burn, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2474,"Auchalick Wood, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2475,"Barr Lagan, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2476,"Barranlongairt, Argyll & Bute (Auchnaha)",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2477,"Barr An Longairt, Argyll & Bute (Barr An Taolain)",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2478,"Allt An Dubhair, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2479,"Dun Mor, Dunchraigaig, Argyll & Bute (Ballymeanoch)",NA,Clearing in plantation,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2480,"Mingulay, Dun Mhiughlaigh, Western Isles (Dun Mingulay)",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2481,"Berneray, Dun Briste, Western Isles",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2482,"Berneray, Barra Head Lighthouse, Western Isles (Sron An Duin; Skate Point; Dun Bernera; Dun Bhearnaraidh)",Interior is heavily quarried,NA,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
2483,"Vatersay, Biruaslum, Western Isles (Bhatarsaigh; Bioruaslum)",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
