Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
1688,"Pen-y-Gaer, Llanbedr-y-Cennin, Conwy",4.0,1.0,Possibly four breaks.,NA,"Site notable for fine chevaux de frise outside outer rampart on S and outside W entrance, made of local rocks 0.3m to 0.9m long, but mainly in the shorter lengths.",W entrance with massive dry-stone revetments. Fine chevaux de frise on S and W sides.,Simple Gap (West),No,Yes
1689,"Pen-y-Castell, Maenan, Conwy (Pen-y-Castell, Garreg Olau; Caer Oleu Camp)",1.0,1.0,Ruinous condition makes number assessment only.,NA,NA,"No entrance visible to interior wall. Possible entrance on S apex of outer defence, protected by additional walling at lower end.",Simple Gap (South); Simple Gap (South),No,No
1690,"Braich-y-Ddinas, Conwy (Dinas Penmaen)",5.0,2.0,Total possible gaps in outer wall - Two in S; one in W and one in WNW. One gap in inner wall in SW quadrant.,"Possible entrances, but conjecture only.",NA,"Total possible gaps in outer wall - Two in S; one in W and one in WNW. One gap in inner wall in SW quadrant. Possible entrances, on S and W, but conjecture only.",Simple Gap (South); Simple Gap (West),No,No
1691,"Dinas Allt Wen, Dwygyfylchi, Conwy (Allt Wen; Dinas, Dwygyfylchi)",1.0,1.0,Possible estimate - ruinous walls.,NA,"Possible traces of guard chamber in the angle N of the passage suggested in past, but not now visible.","3m wide entrance at NE angle where adjacent rampart thickened. Possible traces of guard chamber in the angle N of the passage suggested in past, but not now visible.",Simple Gap (North east); Passage-way/Corridor (North east); Recesses/Guard Chambers (North east),Yes,No
1692,"Gladree (An Gileadraigh), Mayo (Doonaneanir (One Mans Fort))",0.0,0.0,NA,NA,NA,The stack was probably reached by a natural arch which has since fallen into the sea,NA,No,No
1693,"Castell Odo, Aberdaron, Gwynedd",1.0,1.0,NA,NA,NA,Simple gap entrance on NE.,Simple Gap (North east),No,No
1694,"Dinas, Porth Ruffydd, Isle of Anglesey",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
1695,"Craig y Castell I, Brithdir, Gwynedd (Tyddyn y Coed Camp)",-1.0,1.0,Tumbled walls mask estimate.,NA,NA,"Elaborate and impressive S entrance is a particular feature, making use of an oblique gully up to the hillock top. Lined by walling, c. 3 m wide, passageway (now blocked - detail uncertain) with, using a natural boss of rock, a semi-circular bastion guarding the approach.",Passage-way/Corridor (South); Oblique (South); Blocked (South),No,No
1696,"Moel Goedog Camp, Gwynedd",-1.0,1.0,Not determined as indeterminate slight breaks in the banks following a natural line up the hill.,NA,NA,"Entrance possibly on S side where there are slight breaks in the banks following a natural line up the hill. Site easily reached from the ridge of Y Fonllech Hir to S, which carries an ancient track inland from the mouth of the Afon Artro.",Simple Gap (South),No,No
1697,"Clogwyn Arllef, Gwynedd",3.0,1.0,Estimate only.,NA,NA,"Gap entrance on N end of E side, between two modern others on the E and NE, and approached below by ruinous walled track for c. 62m to E.",Simple Gap (East),No,No
1698,"Byrllysg Fort, Gwynedd",-1.0,1.0,Disturbance confuses interpretation.,NA,NA,"Entrance on N side of the bank, but walls and stone clearance confuse matters.",Simple Gap (North),No,No
1699,"Pen-y-Dinas, Tal-y-Bont, Gwynedd (Castell Dinas Cortin; Castell Dinas Gortyn; Pen y Ddinas Camp)",-1.0,1.0,No estimate as tumbled walls.,NA,NA,"Strong, massive and elaborate slightly inturned entrance on W side leads steeply into the interior. The passage is 3.7 m wide with wall faces and much fallen stonework. Trackway, either holloway of flanked by tumbled stone walls, leads from inner entrance, through annexe and runs for some 100m to NW.",In-turned (West); Passage-way/Corridor (West); Hollow Way (West),No,No
1700,"Gladree (An Gileadraigh), Mayo (Dunaneanirbeg)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1701,"Termoncarragh (Tearmann Caithreach), Mayo (Dunadearg (The Red Fort Or Fort of The Red Man))",0.0,0.0,NA,NA,NA,There are no recorded entrances through the earthen bank. Westropp suggested that the site was accessed via a natural bridge which has since disappeared.,NA,No,No
1702,"Chester Hill, South Lanarkshire",2.0,2.0,NA,"A third, blocked, is claimed from geophysics",NA,See main summary,Simple Gap (South east); Blocked (South); Simple Gap (West),No,No
1703,"Termoncarragh (Tearmann Caithreach), Mayo (Porth)",2.0,2.0,NA,NA,NA,"Westropp describes two gateways, one of which lies roughly in the middle of the neck. Stone lintels lie outside both gates. No other information available.",Simple Gap (South east); Simple Gap (South east),No,No
1704,"Quothquan Law, South Lanarkshire",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west); Oblique (South west),No,No
1705,"Craig y Ddinas, Llanddwywe-Is-y-Gaer, Gwynedd",-1.0,1.0,No estimate as detail obscured.,NA,NA,"Elaborate and impressive entrance on SE side a particular feature, with wall on SE curving outwards to form a bastion flanking an oblique narrow passage. Stone clearance and walling for approach trackway visible to E and SE of entrance.",Passage-way/Corridor (South east); Oblique (South east),No,No
1706,"Bryn Castell, Uwch Mynydd, Gwynedd (Bryn y Castell)",-1.0,1.0,No estimate as tumbled walls.,NA,NA,Entrance on the E cutting obliquely into the fort. Wall thickened on each side of it and faced with large stones.,Oblique (East),No,No
1707,"Castell Llanaber, Gwynedd (Bwlch y Llam; Ffridd Fechan)",0.0,0.0,Few details therefore no estimate.,Modern stone wall crossing site possibly masks location.,NA,"Not defined, but modern stone wall crossing site possibly masks location.",NA,No,No
1708,"Dinas Oleu, Gwynedd",-1.0,1.0,Few details therefore no estimate.,NA,NA,Possible original entrance on NW.,Simple Gap (North west),No,No
1710,"Creigiau Gwineu, Gwynedd",7.0,1.0,Gaps estimated because of tumbled walls.,NA,NA,"One original entrance uses wide natural gully through W crags, but now obscured by fallen rocks and modern walling.",Simple Gap (North west); Simple Gap (North west),No,No
1711,"Conion, Gwynedd",-1.0,1.0,No estimate as result of destruction.,NA,NA,Entrance c. 3.5m wide is on NE approached from the S by a terraced trackway 3m wide.,Simple Gap (North east),No,No
1712,"Castell Pared Mawr, Gwynedd (Pared Mawr Camp; Castell, Porth Ceiriad)",1.0,1.0,Estimated.,NA,NA,On S side cliff edge adequate defence beyond a smaller bank. Here site of the entrance leading onto narrow ledge above the cliff edge running to W. Bank cutting off seaward end of the ditch runs along top of this ledge away from SE corner providing a defensible corridor into interior.,Passage-way/Corridor (South),No,No
1713,"Pen-y-Gaer, Afon Soch, Gwynedd (Pen-y-Gaer, Llanengan)",-1.0,1.0,Much damage - not determined.,NA,NA,Entrance on NE. No details.,Simple Gap (North east),No,No
1714,"Castell, Llanengan, Gwynedd (Porth Neigwl)",1.0,1.0,Estimated.,NA,NA,N side of rampart ends on NE c. 3m from modern field bank wall and here possible entrance.,Simple Gap (North east),No,No
1715,"Fallburn, South Lanarkshire (Thankerton; Totherin Hill)",2.0,2.0,NA,NA,NA,See main summary,Passage-way/Corridor (North east); Passage-way/Corridor (North west),No,No
1716,"Ballyglass (An Baile Glas), Mayo (Doon-Na-Dell)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1717,"St John's Kirk, South Lanarkshire",0.0,0.0,Large sector on the NE ploughed down,"Entrance unknown, but assumed to be on the NE",NA,See main summary,NA,No,No
1718,"Doorgort East (Achill Island), Mayo (Achill Island) (Porteen)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1719,"Doogort East (Achill Island), Mayo (Achill Island) (Doonagappul)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1720,"Doogort East (Achill Island), Mayo (Achill Island) (Doonmore)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1721,"Cross Ridge, South Lanarkshire",1.0,1.0,NA,1,NA,See main summary,Simple Gap (East),No,No
1722,"White Hill, South Lanarkshire",0.0,0.0,Heavily degraded all round the circuit,None identified,NA,None known,NA,No,No
1723,"Hart Law, Northumberland",6.0,-1.0,NA,Unknown,NA,The location of entrances is unverified,NA,No,No
1724,"Careg-y-Llam, Pistyll, Gwynedd",2.0,2.0,NA,NA,NA,"Outer simple gap gate on SE approached by trackway 3m-3.7m wide on E terraced and edged with large boulders. From outer gate was an approach uphill to inner gate, here a ruined passage c. 3m wide reduced at outer end by projecting piers.",Simple Gap (South east); Passage-way/Corridor (South east),No,No
1725,"Moel y Gest, Porthmadog, Gwynedd",-1.0,1.0,Robbed walls - not estimated.,NA,NA,Entrance gap of 1.6m wide on NW main entrance wall 2.6m thick faced with large blocks. Outside to E length of very slight wall 3.3m wide.,Simple Gap (North west); Simple Gap (North west),No,No
1726,"Carn Pentyrch, Llangybi, Gwynedd (Garn Bentyrch; Garn Pentyrch)",2.0,1.0,Estimated. Fallen stone and modern field wall make interpretation difficult.,NA,NA,"Entrance passage on E side now obscured by fallen stone, but possibly c. 3m-4m wide.",Passage-way/Corridor (East),No,No
1727,"Craig-y-Dinas, Pontllyfni, Gwynedd",2.0,2.0,NA,NA,NA,"Two entrances one at each end of the inner rampart across the neck on NE and W, seemingly simple passages 4m wide and approached along edge of promontory past ends of outer rampart",Simple Gap (North east); Passage-way/Corridor (North east); Simple Gap (West); Passage-way/Corridor (West),No,No
1728,"Pen y Gaer, Llanaelhaearn, Gwynedd",-1.0,1.0,Walls spread - total not determined.,NA,NA,Ancient road leads towards the fort from the NE. The entrance on W is a passage 3.3m long and 2.1m wide.,Passage-way/Corridor (West),No,No
1729,"Dinas Emrys, Gwynedd (Cwm-Yr-Ala)",3.0,3.0,Estimated only.,NA,NA,"Main, inner enclosure entrance on W through ruinous wall beyond which are two further lines of fallen walls with gateways, the lowest close to the foot of the rock. Route through the three gates torturous, involving blind alleys and zigzags. Razor-back ridge connecting the rock to mountain proper offers relatively straightforward approach.",Simple Gap (West); Simple Gap (West); Simple Gap (West); Simple Gap (West); Simple Gap (West); Simple Gap (West),No,No
1730,"Moel Dinas, Garreg, Gwynedd",-1.0,1.0,Ruinous walls - total not determined.,NA,NA,Elaborate entrance on E with a curving passage leading up into interior.,Passage-way/Corridor (East); Oblique (East),No,No
1731,"Bryn-y-Castell, Ffestiniog, Gwynedd (Bryn y Castell, Llyn Morwynis; Bryn y Castell Hillfort)",2.0,2.0,NA,NA,NA,"Original 2 m wide entrance in NE corner, later blocked, and another constructed on W.",Simple Gap (West); Blocked (North east),No,No
1732,"Caer Idris, Isle of Anglesey",1.0,1.0,NA,NA,NA,"There is a single entrance in the long SE facade, to which the outer walls allow only a zigzagged  approach. Formerly three in-situ facing stones near the entrance on third bank survive.",Over-lapping (South east),No,No
1733,"Dinas Dinlle, Llandwrog, Gwynedd",1.0,1.0,Much of site lost seaward to W.,Wide entrance gap.,NA,Fine wide and simple entrance on SE.,Simple Gap (South east),No,No
1734,"Caer Euni, Gwynedd (Cefn Caer-Euni; Caer Crwyini; Caer Eini; Kaer Kyreini; Cerwyini; Caerau-Crwyni)",2.0,1.0,Gap on the W modern.,NA,NA,"Main entrance is at the NE, with outworks 40m beyond, and difficult to enter. No new entrance was created in second phase, but one spine of rock left uncut to create an access point. Gap on the W modern. There is a possible crossing point to the S.",Outworks (North east),No,No
1735,"Castell Mawr, Rhoslefain, Gwynedd (Castell Mawr, Llangelynin)",1.0,1.0,NA,NA,NA,Possible E-facing entrance.,Simple Gap (East),No,No
1736,"Mynydd Mynyllod, Gwynedd",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1737,"Wyndales Farm, South Lanarkshire",1.0,1.0,Ploughed flat,NA,NA,See main summary,Simple Gap (South west),No,No
1738,"Caer-y-Twr, Mynydd Twr (Holyhead Mountain)., Isle of Anglesey",-1.0,1.0,Gaps not defined as much rock outcrops utilised.,NA,NA,"One rocky inturned entrance about 3 m wide at the NE corner within a rocky gully and much protected by natural rock. This continues inside the fort as an avenue flanked by rocky outcrops, opening out as broad flat area before rising again to summit.",In-turned (North east),No,No
1739,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Gubadoon)",0.0,0.0,NA,NA,NA,There are no recorded breaks through the earthworks.,NA,No,No
1740,"Llechlwyd Tonfanau, Tywyn, Gwynedd (Tal-y-Gareg; Lechrwyd Hillfort)",1.0,1.0,NA,NA,NA,Outer bank and ditch destroyed at W end by quarry road. Inner rampart has inturned entrance at junction of W end and steep slope of hill.,In-turned (North east),No,No
1742,"Craig y Castell Ii, Brithdir, Gwynedd (Castell y Waun)",0.0,0.0,NA,"No entrance defined, but probable original trackway runs along S slope.",NA,"No entrance defined, but probable original trackway runs along S slope.",NA,No,No
1743,"y Werthyr, Llanddeusant, Isle of Anglesey",-1.0,1.0,Nearly destroyed - not determined.,NA,NA,Possible overlapping entrance on NE.,Over-lapping (North east),No,No
1744,"Parciau, Isle of Anglesey (Bryn Diol)",-1.0,1.0,NA,NA,NA,S entrance with causeway through second rampart and inner ditch to gap in inner rampart.,Simple Gap (South),No,No
1745,"Pier Camp, Bangor, Gwynedd (Camp Hill, Bangor)",-1.0,1.0,Not determined as much gone.,NA,NA,Inturn on NE possible entrance.,In-turned (North east),No,No
1746,"Westside, South Lanarkshire (Castle Hill)",2.0,2.0,Ploughed down all round the circuit,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
1747,"Nantlle, Llanllyfni, Gwynedd",-1.0,1.0,Tumbled walls - not determined.,NA,NA,"Entrance in middle of W side nearly 3m wide, much ruined.",Simple Gap (West),No,No
1748,"Ynys For, Gwynedd (Ynysfor)",-1.0,1.0,Much robbed - not determined.,NA,NA,Simple entrance on the SSE.,Simple Gap (South east),No,No
1749,"Ynys-y-Fydlyn, Isle of Anglesey",0.0,0.0,NA,NA,NA,Entrance not determined.,NA,No,No
1750,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Dundooega)",0.0,0.0,NA,NA,NA,There are no recorded breaks through the defences,NA,No,No
1751,"Castlehill Strip, South Lanarkshire",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
1752,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Dún Bunnafahy)",1.0,0.0,It is not clear whether this is a formal entrance,NA,NA,"A stone rectangular structure is recorded along the centre of the wall composed of a 'cist-like structure of slabs, 4 feet 4 inches wide, with apparently a narrow entrance, 22 inches wide, to the west' (Westropp 1914, 309). It is not clear whether this was part of an entrance.",NA,No,No
1753,"Carrowgarve (An Cheathrú Gharbh), Mayo (Achill Island) (Dunnaglas)",0.0,0.0,NA,NA,NA,It is isolated from the mainland but can be accessed at low tide. The entrance to the site probably lay farther S than the existing wall where the bank has collapsed.,NA,No,No
1755,"Lamington, South Lanarkshire",0.0,0.0,Ploughed flat,None recorded but probably on the margin of the escarpment on the NNE or SSW,NA,See main summary,NA,No,No
1756,"Bwrdd Arthur, Llanddona, Isle of Anglesey (Dinas Sylwy; Din Silwy)",3.0,3.0,NA,NA,NA,"Two original entrances through the wall, c. 4.5m wide, in the centre of S side and on W. S more important and approached by a terraced trackway; W a mere steep gap, 2-3m wide. Possibly another and blocked entrance to NW.",Simple Gap (South); Simple Gap (West); Blocked (North west),No,No
1758,"Huntlyhill, South Lanarkshire",1.0,1.0,Ploughed flat,Possible entrance on the E,NA,See main summary,Passage-way/Corridor (East),No,No
1759,"Erw Goch Camp, Conwy",0.0,0.0,NA,NA,NA,No details.,NA,No,No
1760,"Penrhyn Erw-Goch, Pembrokeshire",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1761,"Craig-Yr-Aderyn, Gwynedd (Craig y Deryn; Birds Rock)",2.0,2.0,NA,NA,NA,First slightly inturned phase entrance is on the E side being an uphill passage 2.4m-3 m wide. A deep earthwork remains which may have been a formal walled corridor beneath a crossing bridge. The second phase uphill entrance on the SE of c. 3m in width is elaborately inturned with portions of wall remaining.,In-turned (East); Passage-way/Corridor (East); In-turned (South east); Passage-way/Corridor (South east),No,No
1762,"Twyn-y-Parc, Isle of Anglesey",1.0,1.0,NA,NA,NA,Gap at N end. Entrance winds between outer ramparts.,Simple Gap (North east); Simple Gap (North east),No,No
1763,"Dinas Gynfor, Isle of Anglesey",1.0,1.0,Estimated.,NA,NA,"Slightly inturned entrance  through the SW inner rampart towards E end, with pathway running diagonally up the hill, where an outer rampart or wall branches out to run along the lower slopes to W.",In-turned (South west); Outworks (South west),No,No
1764,"Cefn Ddwysarn Camp, Gwynedd",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1765,"Pen-y-Gaer Camp, Aberglaslyn, Gwynedd",-1.0,1.0,Robbed - not determined.,NA,NA,"On the E is an entrance, about 1.6m wide, protected on the N by a solid square ended projection.",Simple Gap (East),No,No
1766,"y Werthyr, Bryngwran, Isle of Anglesey",1.0,1.0,NA,NA,NA,Terrace incurves towards the road which now cuts through the fort NW-SE and possible entrance where incurves.,Simple Gap (North west),No,No
